"sample","PC1","PC2","PC3"
"IL-1",5.91348585014813,24.3093819711962,-21.6340715020688
"IL-24",-20.8944660122671,-9.79810745112327,3.45101293130845
"IL-29",5.19969071980507,31.6507804978625,-9.5944582099056
"IL-36",-31.4233808147638,-24.8889413846038,5.58568108200858
"IL-2",-12.6441155194379,19.2941068954728,-9.79697583912965
"IL-4",78.4588596594493,-30.1485124155033,-18.8278469859007
"IL-7",-14.1488897211659,9.10292920843047,-3.66648460549754
"IL-9",30.0058656564551,12.7433204948591,57.6311661090286
"IL-10",0.334126254902035,10.3505723981869,20.2008148144964
"IL-14",-8.33046339190341,-32.3673680875912,-5.19541006142591
"IL-17",-30.2680181352845,-27.2571699107194,3.29159251790977
"IL-19",-2.20269454593435,17.009007783553,-21.4450202508239
